company,posts,followers,following,global_traffic_rank,monthly_rank_growth,visit_duration,visit_duration_growth
Spitfire Audio,3337,147,1776,106177,19,413,5
Average of Other Companies,1413,952.31,745.5,564986.544,-5.9,434.45,31.7
